time,x1,y1,x2,y2
0.000,357.584,294.779,390.492,314.696
0.017,357.257,293.561,390.481,313.943
0.033,356.699,291.330,389.329,314.081
0.050,356.623,290.371,388.505,313.918
0.067,356.361,289.163,387.757,313.430
0.083,356.174,288.095,386.283,313.530
0.100,356.126,287.526,385.412,313.045
0.117,355.940,286.401,383.790,313.004
0.133,355.754,285.277,382.168,312.964
0.150,355.567,284.152,380.545,312.923
0.167,355.716,283.778,378.050,313.919
0.183,355.449,282.322,376.826,314.328
0.200,355.559,281.975,375.835,314.691
0.217,355.256,280.628,374.457,314.916
0.233,355.215,279.544,372.722,315.622
0.250,355.250,278.965,371.609,315.784
0.267,355.339,278.106,370.405,315.595
0.283,355.261,277.145,369.123,315.798
0.300,355.547,276.919,367.717,316.469
0.317,355.670,276.545,366.677,316.249
0.333,355.901,276.891,365.285,316.453
0.350,356.011,276.527,364.608,315.990
0.367,355.945,275.917,362.485,316.991
0.383,356.028,275.500,361.655,317.586
0.400,355.174,273.944,360.554,317.912
0.417,353.993,274.149,359.673,318.235
0.433,353.026,275.013,358.650,318.977
0.450,350.854,275.627,357.982,319.437
0.467,348.228,276.210,358.089,320.331
0.483,346.483,277.390,359.569,320.839
0.500,345.055,278.345,361.584,322.213
0.517,342.870,280.032,364.033,323.413
0.533,341.386,281.149,366.235,324.438
0.550,339.789,281.964,368.015,324.975
0.567,339.080,282.810,370.052,325.710
0.583,337.735,283.801,371.294,325.960
0.600,336.757,284.540,372.443,326.221
0.617,335.534,285.526,374.133,326.894
0.633,335.147,286.153,374.938,327.189
0.650,334.899,286.429,376.677,327.967
0.667,334.245,287.028,377.718,328.100
0.683,333.538,287.672,378.618,328.378
0.700,332.700,288.367,378.975,328.401
0.717,332.277,288.968,379.905,328.819
0.733,331.394,289.651,379.731,328.571
0.750,330.579,290.218,380.559,328.906
0.767,330.642,290.499,381.104,328.930
0.783,330.517,291.023,381.686,329.160
0.800,329.685,291.744,381.870,329.195
0.817,329.313,292.467,383.256,329.667
0.833,329.068,293.526,383.124,329.610
0.850,330.156,294.628,384.266,329.772
0.867,331.507,296.894,383.940,329.223
0.883,333.562,298.707,385.480,328.775
0.900,336.276,301.279,386.164,328.297
0.917,338.465,302.672,386.233,327.206
0.933,340.637,304.058,386.958,326.123
0.950,342.993,305.497,387.560,324.945
0.967,345.558,306.978,388.572,323.180
0.983,347.576,307.807,388.300,322.971
1.000,349.552,309.035,388.644,321.649
1.017,351.114,309.608,388.560,321.414
1.033,353.953,311.252,389.142,320.018
1.050,355.388,312.162,389.530,318.997
1.067,356.051,312.510,389.881,317.709
1.083,358.053,313.655,389.948,316.775
1.100,358.451,313.738,389.660,316.319
1.117,360.104,314.872,389.082,316.836
1.133,360.970,315.265,389.006,315.450
1.150,362.032,315.761,388.694,315.013
1.167,363.354,316.369,388.394,312.979
1.183,364.258,317.031,388.164,311.598
1.200,365.874,317.742,387.670,310.633
1.217,367.424,318.607,387.777,311.242
1.233,369.316,318.987,385.130,308.545
1.250,371.207,319.368,383.504,305.236
1.267,373.098,319.748,382.003,301.824
1.283,374.990,320.129,380.501,298.412
1.300,376.881,320.509,379.000,295.000
1.317,378.772,320.890,377.000,292.000
1.333,380.663,321.270,369.245,292.363
1.350,391.012,318.294,360.360,283.683
1.367,399.244,316.563,360.049,278.240
1.383,404.695,316.544,361.975,275.451
1.400,408.900,316.676,365.398,273.694
1.417,412.814,317.213,367.377,273.065
1.433,416.223,317.891,369.601,272.504
1.450,418.851,318.288,371.667,271.955
1.467,421.108,318.771,374.729,271.071
1.483,423.227,319.059,376.651,270.820
1.500,424.549,319.595,377.857,270.490
1.517,425.914,319.599,379.305,270.278
1.533,428.054,319.869,381.573,270.087
1.550,428.812,319.882,381.784,270.172
1.567,429.405,320.023,383.162,270.139
1.583,430.617,320.100,385.002,270.012
1.600,432.645,320.351,386.531,269.950
1.617,433.134,320.155,387.313,269.757
1.633,435.051,320.416,388.982,269.343
1.650,435.959,320.262,391.816,269.122
1.667,436.096,320.317,394.478,269.874
1.683,437.536,320.376,397.328,271.057
1.700,438.688,320.397,400.789,272.609
1.717,439.433,320.417,404.209,274.146
1.733,439.594,320.397,408.075,275.890
1.750,439.541,320.611,410.671,277.258
1.767,440.687,320.920,413.519,279.183
1.783,441.420,320.847,415.416,280.606
1.800,441.765,320.969,417.254,282.334
1.817,441.793,320.986,419.394,283.808
1.833,443.125,321.234,420.200,284.340
1.850,444.303,321.301,422.206,285.989
1.867,444.428,321.358,423.826,287.425
1.883,445.842,321.262,425.941,289.290
1.900,445.324,321.430,427.387,291.525
1.917,445.528,321.400,428.622,293.277
1.933,447.357,321.438,430.589,296.109
1.950,447.836,321.640,431.763,297.628
1.967,447.989,321.652,433.706,300.473
1.983,449.721,322.659,434.598,302.402
2.000,451.549,323.393,435.491,304.331
2.017,453.377,324.127,436.384,306.260
2.033,455.205,324.861,437.276,308.189
2.050,457.033,325.595,438.169,310.118
2.067,458.860,326.330,439.084,313.059
2.083,460.688,327.064,440.000,316.000
2.100,462.516,327.798,440.847,315.905
2.117,464.344,328.532,441.740,317.834
2.133,466.172,329.266,442.632,319.763
2.150,468.000,330.000,443.525,321.692
2.167,468.770,333.738,444.417,323.621
2.183,468.810,337.626,444.818,325.283
2.200,468.303,341.744,445.412,326.971
2.217,467.693,343.307,445.971,328.824
2.233,466.930,346.452,446.197,329.988
2.250,466.245,348.501,446.319,330.623
2.267,465.522,351.359,446.535,332.554
2.283,464.698,353.951,446.593,333.787
2.300,464.408,354.806,446.791,334.618
2.317,463.581,357.212,447.520,337.213
2.333,462.502,359.700,447.925,338.902
2.350,461.640,361.236,448.078,339.392
2.367,461.026,362.190,448.237,340.762
2.383,460.588,363.122,448.368,342.137
2.400,459.309,365.226,448.136,342.389
2.417,458.643,366.080,448.289,343.842
2.433,458.174,367.006,448.238,344.958
2.450,457.552,367.937,448.383,346.323
2.467,456.593,369.042,448.444,347.335
2.483,455.494,370.201,448.505,348.347
2.500,454.395,371.361,448.566,349.359
2.517,453.296,372.521,448.627,350.371
2.533,452.198,373.681,448.688,351.384
2.550,451.099,374.840,448.750,352.396
2.567,450.000,376.000,448.811,353.408
2.583,449.875,376.776,448.872,354.420
2.600,446.185,378.345,448.614,354.467
2.617,442.495,379.915,448.355,354.515
2.633,438.805,381.484,448.097,354.562
2.650,435.115,383.054,447.839,354.610
2.667,431.424,384.624,447.581,354.658
2.683,427.734,386.193,447.322,354.705
2.700,424.044,387.763,447.064,354.753
2.717,420.354,389.332,446.806,354.800
2.733,416.010,389.665,446.034,355.504
2.750,413.498,389.688,445.701,354.999
2.767,410.049,388.704,445.193,355.980
2.783,407.297,387.823,444.650,356.969
2.800,404.835,386.663,444.751,356.117
2.817,402.773,385.570,444.237,356.386
2.833,401.129,384.973,443.918,356.834
2.850,400.192,384.076,443.861,356.771
2.867,398.692,383.521,443.229,357.769
2.883,397.366,382.849,443.261,357.976
2.900,396.929,382.823,443.147,357.386
2.917,395.193,381.689,442.996,358.004
2.933,393.826,381.055,442.570,359.693
2.950,393.442,381.004,440.738,362.766
2.967,392.473,380.568,438.782,364.091
2.983,391.617,380.015,435.449,366.295
3.000,390.435,379.458,432.649,368.082
3.017,389.511,378.980,429.704,370.070
3.033,389.201,378.878,426.812,371.738
3.050,387.962,378.116,424.239,372.696
3.067,388.289,378.378,421.106,373.699
3.083,386.922,377.877,418.458,374.278
3.100,384.598,376.127,416.919,374.498
3.117,382.275,374.377,415.380,374.717
3.133,379.951,372.627,413.841,374.937
3.150,377.627,370.876,412.302,375.156
3.167,375.000,368.000,410.763,375.376
3.183,373.000,366.000,409.224,375.595
3.200,370.628,364.797,407.685,375.815
3.217,368.257,363.594,406.146,376.034
3.233,366.009,362.126,404.607,376.254
3.250,363.685,360.375,403.068,376.473
3.267,361.362,358.625,401.528,376.693
3.283,359.038,356.875,399.989,376.913
3.300,356.715,355.125,398.450,377.132
3.317,354.298,354.598,397.723,376.953
3.333,351.438,354.781,396.614,376.705
3.350,350.218,355.218,395.712,376.342
3.367,347.585,356.201,394.379,376.384
3.383,345.527,357.410,392.529,376.242
3.400,344.135,358.563,391.215,376.376
3.417,343.212,359.553,390.655,375.975
3.433,341.012,361.572,388.796,376.121
3.450,340.296,362.213,387.392,375.920
3.467,338.760,364.120,387.434,375.834
3.483,338.149,365.008,386.689,375.352
3.500,337.274,366.196,385.459,375.448
3.517,336.712,367.035,385.097,375.334
3.533,336.179,368.038,383.414,375.236
3.550,334.902,369.741,382.964,375.026
3.567,334.277,371.085,382.165,374.629
3.583,334.294,371.392,380.742,374.442
3.600,334.185,372.680,379.954,373.910
3.617,334.611,372.796,376.804,373.042
3.633,334.069,374.263,375.262,372.389
3.650,331.313,379.821,374.043,372.028
3.667,327.967,383.961,371.506,371.410
3.683,324.124,388.457,371.397,371.446
3.700,321.792,392.065,369.698,370.941
3.717,320.234,395.272,369.329,370.902
3.733,320.017,398.621,368.847,370.852
3.750,319.686,399.404,367.454,370.509
3.767,319.970,401.362,366.649,370.430
3.783,320.959,404.441,366.192,370.108
3.800,321.919,407.179,365.556,369.780
3.817,321.955,408.048,364.640,369.702
3.833,322.348,409.536,364.179,369.493
3.850,322.894,411.388,363.558,369.443
3.867,323.233,412.966,363.011,369.399
3.883,323.872,414.546,362.328,369.472
3.900,324.254,415.938,361.553,369.681
3.917,324.349,416.922,361.094,369.903
3.933,324.499,417.954,360.758,370.112
3.950,324.685,419.171,359.633,370.489
3.967,324.891,420.145,359.603,370.924
3.983,324.927,421.261,358.710,370.936
4.000,325.299,422.405,359.337,371.534
4.017,325.502,423.452,358.377,371.524
4.033,325.336,423.782,357.088,372.433
4.050,325.307,424.586,356.170,373.476
4.067,325.622,425.810,354.828,375.027
4.083,326.119,427.252,353.198,376.598
4.100,325.906,427.386,352.190,377.671
4.117,325.883,428.275,350.537,379.293
4.133,325.810,428.943,349.167,380.772
4.150,325.544,429.469,348.363,381.878
4.167,326.037,430.316,347.401,383.202
4.183,325.712,430.963,346.567,384.483
4.200,325.868,431.898,345.531,386.037
4.217,325.803,432.096,344.983,387.140
4.233,325.756,432.926,345.057,387.955
4.250,326.233,433.850,344.413,389.192
4.267,326.398,434.723,343.956,390.134
4.283,326.710,435.522,343.144,391.728
4.300,326.373,435.848,343.848,391.840
4.317,326.743,436.594,342.446,393.560
4.333,326.599,437.138,342.488,394.231
4.350,326.562,437.518,341.420,395.887
4.367,326.830,438.419,341.299,396.596
4.383,326.758,438.684,340.286,397.973
4.400,326.825,439.188,340.186,398.576
4.417,327.312,440.035,340.065,399.399
4.433,327.488,440.603,339.995,399.912
4.450,327.767,441.135,339.681,400.759
4.467,327.922,440.934,339.215,401.618
4.483,327.771,440.824,338.854,402.403
4.500,329.019,440.876,338.231,403.240
4.517,328.373,440.606,338.459,403.659
4.533,329.511,440.480,337.915,404.608
4.550,330.377,440.475,337.692,405.003
4.567,330.854,440.720,337.633,405.830
4.583,331.169,440.631,337.687,406.046
4.600,332.619,440.300,337.294,406.988
4.617,333.868,440.182,337.097,407.677
4.633,334.053,440.291,336.265,409.019
4.650,334.420,440.129,336.870,408.514
4.667,335.183,439.937,336.129,409.793
4.683,335.170,439.883,336.684,409.674
4.700,336.414,439.505,335.637,411.097
4.717,337.843,439.133,335.629,411.361
4.733,338.216,438.857,335.244,411.831
4.750,338.923,438.700,335.386,412.067
4.767,338.115,438.860,335.169,412.482
4.783,338.383,438.699,334.365,413.365
4.800,339.012,438.398,334.264,414.104
4.817,338.678,438.663,334.040,414.400
4.833,339.028,438.347,333.738,415.125
4.850,340.071,438.097,333.125,415.846
4.867,339.597,438.226,332.556,416.353
4.883,339.964,438.165,332.445,416.709
4.900,341.078,437.950,331.936,417.108
4.917,341.079,437.860,332.163,417.187
4.933,342.392,437.185,331.925,417.599
4.950,344.088,436.412,330.638,418.848
4.967,345.051,435.325,328.543,420.831
4.983,345.576,434.312,328.058,422.614
5.000,346.068,433.225,326.514,425.909
5.017,346.689,431.825,326.679,427.580
5.033,347.154,430.705,326.595,429.225
5.050,348.167,428.769,326.410,431.940
5.067,348.061,427.908,326.270,434.024
5.083,348.217,426.590,326.648,435.832
5.100,348.072,424.788,326.550,439.279
5.117,345.000,423.000,327.244,439.753
5.133,342.361,425.036,327.938,440.227
5.150,339.723,427.072,328.632,440.701
5.167,336.000,430.000,327.740,440.842
5.183,334.000,434.000,328.000,441.000
5.200,329.000,435.000,328.000,441.000
5.217,324.000,427.000,326.792,441.162
5.233,325.042,422.333,325.583,441.323
5.250,326.083,417.667,324.000,442.000
5.267,327.125,413.000,323.166,441.647
5.283,328.167,408.333,321.958,441.808
5.300,328.000,403.000,320.749,441.970
5.317,329.238,398.704,319.713,442.109
5.333,328.487,395.227,318.822,442.249
5.350,330.582,394.117,318.144,442.576
5.367,334.153,392.242,317.120,442.899
5.383,337.147,391.249,316.115,443.062
5.400,340.450,390.605,315.464,442.658
5.417,343.641,390.046,314.330,442.981
5.433,345.099,390.440,313.577,443.006
5.450,347.408,390.259,312.953,442.957
5.467,349.476,390.139,312.121,443.237
5.483,352.603,390.274,311.183,444.066
5.500,353.597,391.177,309.925,444.957
5.517,355.969,392.209,309.491,444.239
5.533,356.452,393.178,309.531,442.991
5.550,359.368,394.932,309.468,443.298
5.567,361.324,396.580,309.328,443.675
5.583,362.828,397.824,309.728,443.290
5.600,364.351,399.303,309.875,442.843
5.617,365.709,400.645,310.219,442.200
5.633,367.206,401.744,310.381,441.948
5.650,368.501,403.042,310.401,441.708
5.667,369.732,404.074,310.268,441.832
5.683,371.081,405.174,310.307,441.807
5.700,372.151,406.220,310.307,441.807
5.717,373.422,407.380,310.067,442.005
5.733,374.155,407.887,310.170,441.660
5.750,375.154,408.847,310.071,442.146
5.767,375.577,409.391,309.720,442.765
5.783,376.889,410.222,309.574,442.857
5.800,378.763,411.668,309.353,442.730
5.817,379.560,412.367,309.479,441.813
5.833,379.815,412.423,309.953,440.235
5.850,381.591,413.657,310.804,439.320
5.867,382.640,414.377,312.576,437.322
5.883,383.179,414.808,314.249,436.275
5.900,383.920,415.136,315.912,435.072
5.917,384.863,415.761,318.209,432.803
5.933,386.412,416.732,319.788,431.360
5.950,387.442,417.336,321.612,430.126
5.967,387.787,417.322,323.012,428.904
5.983,388.519,417.645,323.879,428.644
6.000,389.848,418.544,324.789,427.896
6.017,390.265,418.856,326.415,427.215
6.033,391.526,419.565,327.129,426.440
6.050,392.313,419.907,328.365,425.783
6.067,392.865,420.069,329.226,425.258
6.083,393.987,420.746,331.112,423.988
6.100,394.273,421.009,332.738,423.176
6.117,395.300,421.289,335.677,421.927
6.133,395.299,421.166,337.819,421.288
6.150,397.275,422.128,339.937,420.513
6.167,397.600,422.372,342.376,419.564
6.183,398.550,422.731,344.003,419.105
6.200,399.472,423.284,346.144,418.246
6.217,399.923,423.708,347.976,417.455
6.233,401.704,424.605,350.080,416.867
6.250,402.965,424.665,351.863,416.625
6.267,405.568,425.394,352.468,416.437
6.283,407.326,424.788,354.186,416.102
6.300,408.383,423.498,355.809,415.890
6.317,410.201,421.853,357.326,415.416
6.333,411.078,420.033,358.101,415.334
6.350,411.301,419.032,359.226,415.064
6.367,411.928,417.467,360.623,414.948
6.383,412.988,414.930,361.519,414.816
6.400,413.828,412.584,363.659,414.221
6.417,414.188,410.989,364.659,414.221
6.433,414.575,409.032,365.319,414.288
6.450,415.129,407.564,365.667,414.459
6.467,415.701,405.283,366.475,414.397
6.483,415.609,404.102,367.601,414.363
6.500,415.804,402.971,368.646,414.294
6.517,416.161,401.325,369.837,414.158
6.533,416.515,399.875,371.087,414.045
6.550,416.762,398.488,372.194,414.017
6.567,416.817,398.058,373.070,414.064
6.583,417.023,396.760,373.442,414.230
6.600,417.338,396.178,374.996,414.274
6.617,417.468,395.302,375.614,414.501
6.633,417.872,393.755,376.233,414.346
6.650,418.092,392.549,377.075,414.397
6.667,418.174,391.826,378.023,414.192
6.683,418.304,391.276,378.971,414.211
6.700,418.539,389.689,379.971,414.211
6.717,418.608,389.288,380.123,414.430
6.733,418.824,388.408,381.241,414.384
6.750,419.084,387.401,381.900,414.602
6.767,419.362,386.981,383.272,414.221
6.783,419.464,385.932,384.193,414.390
6.800,419.965,384.577,384.039,414.651
6.817,420.070,384.120,384.046,414.840
6.833,419.764,384.188,385.510,414.738
6.850,419.877,383.653,386.240,414.649
6.867,420.021,382.953,386.116,415.016
6.883,419.599,382.913,386.856,414.895
6.900,419.379,383.142,388.153,414.734
6.917,419.418,383.017,388.667,414.409
6.933,419.436,382.729,388.559,414.881
6.950,419.301,381.643,389.386,414.939
6.967,418.936,380.543,390.209,415.034
6.983,418.899,380.026,390.578,415.132
7.000,418.334,378.704,391.343,415.189
7.017,418.190,378.029,392.051,415.243
7.033,417.487,376.594,392.335,415.378
7.050,417.239,376.410,392.890,415.407
7.067,416.256,374.901,395.278,414.720
7.083,416.486,374.912,395.121,415.019
7.100,415.977,374.152,396.242,414.998
7.117,415.038,372.868,397.086,414.510
7.133,415.010,372.891,397.431,414.693
7.150,414.806,372.521,397.106,414.898
7.167,414.367,371.829,397.540,414.861
7.183,413.878,371.100,397.681,414.945
7.200,413.639,370.907,397.621,415.064
7.217,413.505,370.663,397.766,415.049
7.233,413.699,370.901,398.185,414.929
7.250,412.698,369.837,398.552,414.627
7.267,412.442,369.318,398.856,414.541
7.283,412.731,369.521,398.130,415.102
7.300,412.191,368.702,398.541,414.888
7.317,412.191,368.702,399.813,414.236
7.333,411.949,368.471,399.146,414.798
7.350,411.634,368.236,400.356,414.136
7.367,411.563,368.089,400.727,413.988
7.383,410.786,367.560,400.670,414.026
7.400,410.899,368.103,401.803,413.390
7.417,410.899,367.754,402.204,413.266
7.433,409.230,367.416,401.943,413.448
7.450,408.940,367.678,401.824,413.574
7.467,408.180,367.645,402.078,413.356
7.483,407.162,367.927,402.729,412.977
7.500,406.419,368.093,402.873,413.003
7.517,405.469,368.394,402.714,413.373
7.533,404.616,368.725,402.955,413.223
7.550,403.849,369.211,402.560,413.607
7.567,403.615,369.237,403.163,413.236
7.583,401.572,370.208,403.163,413.236
7.600,401.045,370.421,403.078,413.224
7.617,400.515,370.860,403.022,413.274
7.633,400.108,371.111,403.051,413.363
7.650,399.788,371.353,403.099,413.357
7.667,399.412,371.548,403.859,412.837
7.683,398.750,371.890,403.850,412.835
7.700,398.042,372.273,403.764,413.007
7.717,398.870,372.198,403.491,413.205
7.733,398.243,372.616,403.835,412.974
7.750,398.169,372.678,404.289,412.658
7.767,397.942,372.850,404.923,412.545
7.783,397.493,373.115,405.193,412.571
7.800,396.713,373.699,404.804,412.688
7.817,395.674,374.142,404.767,412.724
7.833,395.494,374.252,405.480,412.289
7.850,395.845,374.196,405.915,411.888
7.867,395.939,374.136,406.215,410.479
7.883,395.311,374.661,406.755,408.791
7.900,395.698,374.624,407.201,406.546
7.917,395.266,374.842,407.649,403.727
7.933,394.703,375.181,408.004,402.369
7.950,393.936,375.726,407.982,401.062
7.967,393.265,376.112,408.203,399.636
7.983,392.553,376.202,408.219,398.457
8.000,392.198,376.559,408.215,396.516
8.017,390.516,377.917,407.848,394.972
8.033,388.345,379.964,408.239,393.422
8.050,387.506,381.880,407.935,391.951
8.067,387.078,383.307,407.545,390.476
8.083,386.260,385.945,407.143,389.379
